PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00LRq,1k6/1p1q4/P2p3p/1NpPpn1Q/5b2/2P3r1/1P2B1P1/R6K b - - 3 28,g3g7 a6a7 b8a8 b5c7 d7c7 h5e8 c7b8 a7b8q,2126,83,92,1595,advancedPawn doubleCheck mate mateIn4 middlegame promotion queensideAttack sacrifice veryLong,https://lichess.org/i9yxFCW9/black#56,
00vuv,r3r3/2q1b1pk/p3P1Np/5Qp1/8/3p4/PPp2P2/2R1R1K1 b - - 1 30,d3d2 g6f8 h7g8 f5h7 g8f8 h7h8,2137,76,94,2560,doubleCheck long mate mateIn3 middlegame sacrifice,https://lichess.org/SJRbBrel/black#60,
019gx,1r6/6R1/3p4/1P1Rp3/K1r1P3/2k2P2/8/8 w - - 1 45,a4a5 c4a4 a5a4 b8a8 g7a7 a8a7,2106,83,84,245,attraction endgame long mate mateIn3 rookEndgame sacrifice,https://lichess.org/pCBDwbPH#89,
01FSC,4r3/5Qkp/p5pN/8/6P1/6KP/P1P1r3/8 b - - 0 34,g7h6 g4g5 h6h5 f7f3 h5g5 f3f4 g5h5 f4h4,2151,81,88,464,endgame mate mateIn4 queenRookEndgame veryLong,https://lichess.org/efFWEKnd/black#68,
01JJc,4k3/4P3/2p1KP2/2N5/7r/8/p7/8 b - - 4 42,h4h6 c5e4 c6c5 e4d6,2126,89,57,93,endgame mate mateIn2 quietMove short,https://lichess.org/beTqPTep/black#84,
01iF8,5r1k/1p4pp/p5r1/3P4/3Bb2b/2Q5/PP4PP/R4B1K w - - 11 27,a1e1 f8f1 e1f1 e4g2 h1g1 g2f3,2166,75,89,712,discoveredAttack fork long mate mateIn3 middlegame,https://lichess.org/N2fOcxqm#53,
02YAB,N4Q2/1p6/p5kp/2P3b1/1P6/P3PKP1/6PP/2q5 w - - 9 35,f3g4 c1d1 f8f3 d1d7 f3f5 d7f5,2150,95,71,45,endgame long mate mateIn3,https://lichess.org/ZTbdOKnl#69,
02mPu,5rk1/pp4pp/5q2/3P4/3Pp1p1/6P1/PPQ1R1KP/4Rr2 w - - 1 27,c2e4 f6f2 e2f2 f8f2,2118,78,84,175,endgame mate mateIn2 sacrifice short,https://lichess.org/Uegbhw70#53,
02yab,8/8/8/8/8/2R1bk1p/5Np1/6K1 w - - 6 62,c3c2 f3g3 c2c8 h3h2,2166,76,89,461,advancedPawn endgame master mate mateIn2 short,https://lichess.org/9wLtXMET#123,
034nU,2r3k1/p6p/1p2N1pQ/5p2/4KP2/1P1nP2R/P4qPP/8 w - - 0 30,e4d3 f2c2 d3d4 c2e4,2119,79,71,148,endgame mate mateIn2 short,https://lichess.org/aYZoqMFC#59,
03DDF,5k2/R7/6pp/8/1B3p2/7P/4q1B1/7K b - - 1 40,f8e8 g2c6 e8d8 b4a5 d8c8 a7a8,2163,81,72,278,endgame exposedKing long master mate mateIn3,https://lichess.org/sLk0A4ie/black#80,
03Iup,3R2k1/1rp2pp1/p1p1q1bp/8/4p3/P1B1Q3/1PP2PPP/6K1 b - - 0 22,g8h7 d8h8 h7h8 e3h6 h8g8 h6g7,2179,75,95,10247,attraction deflection endgame long master mate mateIn3 pin sacrifice,https://lichess.org/Nn0EHk3F/black#44,
03R9f,3N4/1P2R3/2pp4/pr6/8/2n5/2P2k2/2K5 w - - 7 47,d8c6 c3a2 c1d2 b5d5 c6d4 d5d4,2163,75,94,11156,endgame long mate mateIn3,https://lichess.org/Mz1aPfO8#93,
03m9L,4r1k1/1pp5/3P2pp/5p2/1R1b4/5qP1/P1Q1B2P/4K2R w - - 1 29,h1f1 d4c3 e1d1 f3f1 e2f1 e8e1,2110,79,60,110,deflection exposedKing fork long mate mateIn3 middlegame pin sacrifice,https://lichess.org/PUp3tKpP#57,
055jM,r4k1r/ppqb2pp/4p1B1/3pP3/8/2bQ2B1/P1P2PP1/RN3K1R b - - 6 17,c3a1 d3f3 f8e7 g3h4,2127,76,94,9431,mate mateIn2 middlegame short,https://lichess.org/V73sGGvw/black#34,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation
05Ba5,r1bk1bnr/pp1pqpp1/2n4p/1NpQ4/2B1PB2/5N2/PP3PPP/R3K2R b KQ - 5 9,g8f6 f4c7 d8e8 b5d6 e7d6 d5f7,2132,78,93,6359,attackingF2F7 deflection long mate mateIn3 middlegame sacrifice,https://lichess.org/SNfg9Iv6/black#18,Center_Game Center_Game_Kieseritzky_Variation
05DXA,3r1rk1/q3bppp/2p1p3/1p2B3/1n1P4/3B1P2/PPP2P1P/R5RK b - - 3 21,b4d3 g1g7 g8h8 g7g8 h8g8 a1g1 e7g5 g1g5,2174,76,91,3454,attraction doubleCheck kingsideAttack mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/LxCZiFJa/black#42,
062e9,8/4R1pp/5pk1/1ppb4/5PPP/8/2r2B2/6K1 b - - 0 37,c5c4 f4f5 g6h6 f2e3 g7g5 f5g6 h6g6 h4h5,2120,73,93,162006,attraction discoveredAttack enPassant endgame mate mateIn4 veryLong,https://lichess.org/osvRxufn/black#74,
06o2P,5r2/p5R1/2pp1r2/4bP1k/8/2PB2p1/PP3pP1/3K1R2 b - - 4 39,h5h6 g7g4 h6h7 f1h1 f6h6 f5f6 h7h8 h1h6,2101,77,94,1633,deflection discoveredAttack endgame exposedKing mate mateIn4 pin veryLong,https://lichess.org/q5rQKjeL/black#78,
08hjE,8/1R2Rp2/5pkp/8/5P2/5nPK/r6P/8 w - - 1 37,e7f7 f3g1 h3h4 a2h2 h4g4 h6h5,2155,79,78,198,deflection endgame long mate mateIn3,https://lichess.org/zFQbQwD9#73,
09qfQ,5r1k/PQN2q2/3p3p/4pn2/8/2PP4/5bPp/R4R1K w - - 0 33,f1f2 f5g3 h1h2 f7h5 h2g1 h5h1,2179,81,88,204,long master mate mateIn3 middlegame,https://lichess.org/mF8q7PVi#65,
0ARwj,r7/p3pp1N/1pn3k1/2p2b1R/4r3/1P3KP1/P1P1B3/R7 b - - 6 24,e4e2 h5g5 g6h7 a1h1 e2h2 h1h2 f5h3 h2h3,2152,79,94,8732,exposedKing mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/nD0Qw21Z/black#48,
0AXza,8/5k2/p7/3N1bp1/1P1B1P1p/P3K1bP/3R2P1/4r3 w - - 1 53,e3f3 g5g4 h3g4 f5e4,2147,77,87,524,endgame master mate mateIn2 short,https://lichess.org/H8dfqWu6#105,
0Acau,8/5p1k/1pQ4p/p2P2p1/Pb1B1n2/1B3P1P/6PK/4q3 b - - 6 34,f4e2 b3c2 h7g8 c6e8 b4f8 c2h7 g8h7 e8f7 f8g7 f7g7,2146,79,87,315,attraction deflection endgame fork mate mateIn5 sacrifice veryLong,https://lichess.org/Tb8liqCQ/black#68,
0Ajaj,r4bnr/p5p1/1p1p4/2p3k1/2B1PQ2/2PPK1p1/PP4q1/RNB5 b - - 0 20,g5g6 c4f7 g6h7 f4f5 g7g6 f5g6,2115,78,84,217,exposedKing long mate mateIn3 middlegame,https://lichess.org/KBxigJ1g/black#40,
0B3cj,1n2kb1r/2R1Q1p1/pr1p1p1p/3P2PP/p4q2/P6B/1PP2P2/1K2R3 b k - 0 26,f8e7 c7c8 e8f7 g5g6,2181,82,91,2449,mate mateIn2 middlegame short,https://lichess.org/g6NNea29/black#52,
0BAXi,5r1k/1Q6/p2pB1pp/3Pp3/3pP3/3P2PP/PP4RK/5qb1 w - - 3 30,h2h1 g1f2 h1h2 f2g3 g2g3 f8f2 g3g2 f2g2,2181,76,93,3172,clearance discoveredAttack endgame exposedKing kingsideAttack mate mateIn4 sacrifice veryLong,https://lichess.org/Ktt7agOe#59,
0BCjC,rnb2rk1/3q1pp1/p2p3p/1p1P2NQ/8/3B4/PP3PPP/R3R1K1 b - - 1 16,d7g4 h5f7 f8f7 e1e8 f7f8 d3h7 g8h8 e8f8,2107,120,78,16,deflection kingsideAttack mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/z9bnAtSl/black#32,Scandinavian_Defense Scandinavian_Defense_Mieses-Kotroc_Variation
0C3qf,2r2rk1/pR3R1p/3P2p1/2P2nN1/1Pq5/P7/3Q2PP/6K1 w - - 1 35,f7h7 c4f1 g1f1 f5g3 f1e1 f8f1,2182,76,89,868,attraction doubleCheck long mate mateIn3 middlegame sacrifice,https://lichess.org/mhZQrmI7#69,
0C79A,8/1R2k1p1/6Pp/3pK2P/3Pp3/5p2/5r2/8 b - - 1 46,e7e8 e5d6 f2c2 b7b8 c2c8 b8c8,2178,74,94,9543,endgame exposedKing long mate mateIn3 rookEndgame,https://lichess.org/eyRa905P/black#92,
0C9TM,2k4r/Rnp5/4N3/4Pp1p/6q1/5bP1/2R2P1P/5K2 b - - 2 38,h8h7 a7a8 c8d7 e6f8 d7e7 c2c7,2137,77,97,1468,deflection long mate mateIn3 middlegame,https://lichess.org/Ijm0QZxY/black#76,
