PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0PDvK,7r/p3Rpk1/1p1p2p1/3P4/3b1Pp1/1P4P1/P5Br/2Q3K1 w - - 0 32,g1f1 h2h1 g2h1 h8h1 f1e2 h1c1,677,83,68,194,advantage endgame exposedKing long master sacrifice skewer,https://lichess.org/tnq7Lxd8#63,
0fPLs,7k/8/6Kp/1p4p1/7P/5rP1/P3r3/3R4 b - - 1 37,g5h4 d1d8 e2e8 d8e8 f3f8 e8f8,678,93,85,586,endgame exposedKing long mate mateIn3 rookEndgame,https://lichess.org/K1mANQRC/black#74,
0nhz9,6k1/8/R4pKp/6p1/P5P1/4r3/2n4q/8 b - - 1 42,h2c7 a6a8 c7d8 a8d8 e3e8 d8e8,665,85,85,333,endgame exposedKing long mate mateIn3,https://lichess.org/Nkh4WrJZ/black#84,
2FDTQ,r4qrk/1b3p1p/p4Pp1/1p1pP3/7Q/P2p3R/1PP3PP/R6K b - - 1 24,h7h5 h4h5 g6h5 h3h5 f8h6 h5h6,663,91,88,875,exposedKing kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/BpvTiX39/black#48,
3ITAa,7R/2R3P1/8/8/1pn5/8/K1k5/8 w - - 0 41,g7g8q b4b3 a2a1 b3b2 a1a2 b2b1q,688,102,94,580,advancedPawn endgame exposedKing long mate mateIn3 promotion,https://lichess.org/iRKns5CF#81,
4dncY,r6k/3RNpbp/6p1/8/4P3/5B2/p1P2PPP/K7 w - - 2 33,e4e5 g7e5 d7d4 e5d4 c2c3 d4c3,697,104,95,226,endgame exposedKing long mate mateIn3,https://lichess.org/W5AD9xP0#65,
50xRZ,3r1k2/R3b3/5p2/2pP3R/1pP1p1rP/1P4P1/6K1/8 b - - 1 36,g4g7 h5h8 g7g8 h8g8 f8g8 a7e7,686,82,89,648,crushing endgame exposedKing long,https://lichess.org/Be6JEVYH/black#72,
56pqg,2b2rk1/1pp2qpp/8/1P1P4/4P3/3Pp2P/4N1P1/Q3KB1R w K - 1 23,e1d1 f7f1 h1f1 f8f1 d1c2 f1a1,613,88,70,144,advantage exposedKing long middlegame skewer,https://lichess.org/hEpsLrJN#45,
7KUHJ,8/P7/7R/2p5/2P2np1/2P5/1P3k1K/8 w - - 0 48,h6f6 g4g3 h2h1 g3g2 h1h2 g2g1q,666,99,91,266,advancedPawn endgame exposedKing long mate mateIn3 promotion,https://lichess.org/ln7JeAng#95,
86hDD,5r2/4k3/6p1/4p1P1/4P3/2N1K3/8/8 b - - 2 44,f8f4 c3d5 e7e6 d5f4 e5f4 e3f4,667,81,100,118,crushing endgame exposedKing fork long,https://lichess.org/H5RBljjd/black#88,
