PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
002vV,8/6k1/2R4p/5p1P/5P1K/6P1/8/r7 w - - 2 58,c6b6 a1h1,461,99,100,314,endgame master mate mateIn1 oneMove rookEndgame,https://lichess.org/KB7FAntf#115,
00K48,6Qk/6pp/p2B4/2pP4/P1q5/6P1/2P1p2P/5RK1 b - - 0 26,h8g8 f1f8,445,106,89,264,endgame master mate mateIn1 oneMove,https://lichess.org/vGu9FCAH/black#52,
00NaX,4r1k1/1p2r3/p1p5/3p1p2/PP1P1q1p/2Q1P1pP/5PP1/4R1K1 w - - 0 39,e3f4 e7e1 c3e1 e8e1,404,86,78,275,endgame kingsideAttack master mate mateIn2 queenRookEndgame short,https://lichess.org/rZL4HlNU#77,
00c89,2r2rk1/6pp/p1q5/1pn2p2/1B1pPP2/3Pn1QB/1PP2R1P/6RK b - - 3 24,f8f6 g3g7,400,98,55,317,kingsideAttack master mate mateIn1 middlegame oneMove,https://lichess.org/qy4azPDa/black#48,
01EB4,7k/6p1/2p4p/p3P3/P7/1P1Bq2P/2P3P1/5R1K b - - 0 32,e3e5 f1f8,437,90,55,100,endgame master mate mateIn1 oneMove,https://lichess.org/fNOT9tE8/black#64,
01N7E,1r4k1/5ppp/p7/3R4/2p5/PrP5/1P3PPP/3R2K1 b - - 0 23,b3b2 d5d8 b8d8 d1d8,414,104,75,99,backRankMate endgame master mate mateIn2 rookEndgame short,https://lichess.org/NTYOEGJb/black#46,
022dd,r7/3r1kp1/8/4B2R/7R/p6P/5PP1/2n2K2 w - - 8 33,h4c4 d7d1,468,106,88,498,endgame master mate mateIn1 oneMove,https://lichess.org/ELYdfeVO#65,
02HQm,4r2k/p6p/1p4pP/2p1Q3/2Pp1R2/6PK/P1P5/8 b - - 6 41,e8e5 f4f8,484,113,88,280,endgame master mate mateIn1 oneMove rookEndgame,https://lichess.org/SEGCESiR/black#82,
02gZ7,7Q/1p2R3/5np1/3p1rk1/P3n3/8/1PP1N1b1/2K5 w - - 6 37,e2d4 f5f1,400,123,71,225,master mate mateIn1 middlegame oneMove,https://lichess.org/zqE9pgLu#73,
02wjb,2r2rk1/1R4pp/p7/2Np4/8/4b3/P1R3PP/3Q1q1K w - - 2 30,d1f1 f8f1,441,99,95,740,backRankMate master mate mateIn1 middlegame oneMove,https://lichess.org/GLXoRamV#59,
041Bo,8/3b3p/3p2pQ/8/2P2P2/3P1Bk1/P6p/1r5K w - - 1 33,f3d1 b1d1,441,88,100,413,endgame hangingPiece master mate mateIn1 oneMove,https://lichess.org/sD8w0FYB#65,
043MW,r5k1/1p3p2/p2bpPp1/3p3R/P5Qp/3q3P/3B2P1/5R1K w - - 1 27,d2h6 d3f1,486,91,89,285,hangingPiece kingsideAttack master mate mateIn1 middlegame oneMove,https://lichess.org/KRy1YB8i#53,
04YLh,6k1/p6p/2p1q1pB/3B4/3b4/P4QP1/1r5P/5R1K b - - 1 27,e6d5 f3d5 c6d5 f1f8,485,90,100,172,clearance endgame master mate mateIn2 short,https://lichess.org/FrqVRpRa/black#54,
04aVP,r2b3k/1p3p1p/5p1B/p2qn3/3pR1Q1/1N4P1/PPP2P1P/5RK1 b - - 0 26,e5g4 e4e8,428,88,94,154,master mate mateIn1 middlegame oneMove,https://lichess.org/bl25B7TK/black#52,
05EXk,5r1k/pp4pp/2p3q1/8/1Q4n1/2P1P1P1/PP4BP/R5K1 b - - 2 22,g4e3 b4f8,435,97,91,1258,endgame hangingPiece master mate mateIn1 oneMove,https://lichess.org/cITVbuOa/black#44,
05gQQ,8/8/8/8/8/3r1k2/6R1/7K w - - 67 97,g2h2 d3d1,443,100,79,510,endgame master mate mateIn1 oneMove rookEndgame,https://lichess.org/nA700uQH#193,
05icJ,8/8/8/6p1/PK6/8/6k1/8 b - - 0 61,g2f3 a4a5 g5g4 a5a6 f3f2 a6a7 g4g3 a7a8q,496,102,96,727,advancedPawn crushing endgame master pawnEndgame promotion quietMove veryLong,https://lichess.org/Cxjd9sRS/black#122,
070QD,r4rk1/pp3qpp/2p1p3/2PpP3/3P3n/2P1Q1R1/P3N1PP/R5K1 w - - 9 19,a1f1 f7f1,439,100,86,249,kingsideAttack master mate mateIn1 middlegame oneMove,https://lichess.org/gid8jkbx#37,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation
07acA,7Q/3kn3/3p4/5p1P/4p3/1P1q4/P1p2P2/K1R5 w - - 0 43,h8c3 d3c3,418,94,97,711,endgame hangingPiece master mate mateIn1 oneMove,https://lichess.org/FYpnGUEg#85,
07zqN,3q1r1k/6p1/p2p2nP/2pB1P2/4PR2/2PP3R/1P4QK/r7 b - - 0 35,g6f4 h6g7,456,103,91,389,advancedPawn doubleCheck master mate mateIn1 middlegame oneMove,https://lichess.org/VDbgfmoO/black#70,
08217,4Q2k/1p3rpp/p5p1/8/8/1P5P/1PP2PPK/q7 b - - 1 36,f7f8 e8f8,464,97,95,232,endgame hangingPiece master mate mateIn1 oneMove,https://lichess.org/UVQZNwFu/black#72,
08W6I,1r1r2k1/4Qpp1/7p/4p3/8/3R1P2/PP4PP/3q3K w - - 0 25,d3d1 d8d1,493,92,74,75,backRankMate endgame master mate mateIn1 oneMove queenRookEndgame,https://lichess.org/fsGqUqgp#49,
08dbu,r4rk1/1b1nbppp/1pq1pn2/p1p5/3P1B2/P1NQ1NP1/1P2PPBP/R2R2K1 w - - 4 16,f3g5 c6g2,452,105,80,313,kingsideAttack master mate mateIn1 middlegame oneMove,https://lichess.org/UQmdvSVC#31,Nimzo-Indian_Defense Nimzo-Indian_Defense_Three_Knights_Variation
09HuJ,2k2b1r/1bp2ppp/1n5r/Q1p1p3/P1P5/1P2N1P1/1B2BP1K/R4R2 w - - 1 21,h2g1 h6h1,471,90,91,170,master middlegame,https://lichess.org/BoTOyItB#41,
09RHB,8/1R6/8/4pK2/5bpk/8/8/8 b - - 1 58,g4g3 b7h7 f4h6 h7h6,438,95,98,612,endgame master masterVsMaster mate mateIn2 short,https://lichess.org/ufvVsD8i/black#116,
09U2S,3b1r1k/p2P1p1p/5p1q/8/3Q1P2/4P2r/P4PB1/3R2RK w - - 0 36,g2h3 h6h3,455,92,100,72,master mate mateIn1 middlegame oneMove,https://lichess.org/WwGnU9Qk#71,
09qUl,r1b1k2r/pp3ppp/4p3/8/2P1n2B/Pn6/1K4PP/3R1BNR b kq - 3 14,b3c5 d1d8,458,81,68,83,master mate mateIn1 middlegame oneMove,https://lichess.org/KR3eZtUz/black#28,Nimzo-Indian_Defense Nimzo-Indian_Defense_Kmoch_Variation
0B9Xk,3r3k/ppq3p1/7p/4b3/8/5Q2/PP4PP/1B3R1K b - - 0 26,e5b2 f3f8 d8f8 f1f8,464,88,98,667,endgame master mate mateIn2 sacrifice short,https://lichess.org/qrbACmJ4/black#52,
0D0rc,2kb1r2/1p5N/4p3/p2pP1p1/2p3P1/P1Pn2Bp/1P1R3P/3R1r1K w - - 16 46,d1f1 f8f1,468,98,90,396,kingsideAttack master mate mateIn1 middlegame oneMove,https://lichess.org/NTGCoeEC#91,
0DTrP,2r3k1/pb2bp2/1p2pn1p/n2qN1p1/3P4/P1PQ1PB1/6PP/1B1R1RK1 w - - 2 23,f3f4 d5g2,458,94,93,740,kingsideAttack master mate mateIn1 middlegame oneMove,https://lichess.org/4MlUGYFa#45,
0DUS1,2rr2k1/pp4p1/7p/3p1p1P/4p3/1Q2P3/PP1q2P1/K2R4 w - - 0 28,d1d2 c8c1,413,104,85,340,backRankMate endgame master mate mateIn1 oneMove queenRookEndgame,https://lichess.org/TZmoRS41#55,
